nID;sName;nID_Region;sID_UA
438;Старий Самбір;2;4625110100
439;Шумськ;9;6125810100
440;Святогірськ;12;1414170500
441;Алмазна;18;4413170200
442;Вижниця;27;7320510100
443;Добромиль;2;4625110300
444;Рудки;2;4624210400
445;Хирів;2;4625110700
446;Скалат;9;6124610500
447;Комарно;2;4620910400
448;Бібрка;2;4623310300
449;Новий Калинів;2;4624210300
450;Глиняни;2;4621810200
451;Підгайці;9;6124810100
452;Батурин;28;7420310300
453;Белз;2;4624810300
454;Устилуг;8;720510400
455;Герца;27;7320710100
456;Берестечко;8;720810300
457;Угнів;2;4624810900
458;Вільшана;26;5923584401
459;"Недригайлівський район/смт Недригайлів";23;5923500000
460;Недригайлів;23;5923555100
461;Вакулки;23;5923555101
462;Віхове;23;5923555102
463;Теплик;11;0523755100
464;Глеваха;16;3221455300
465;Тернопільський район;9;6125200000
466;Царичанський район;1;1225600000
467;Колонщина;16;3222782601
468;Теплицький район;11;0523700000
469;Вишгородський район;16;3221800000
470;Дніпропетровський район;1;1221400000
471;Костопольський район;7;5623400000
472;Новопсковський район;18;4423300000
473;Смілянський район;26;7123700000
474;Шепетівський район;25;6825500000
475;Харківський район;24;6325100000
476;Наддвірнянський район;3;2624000000
477;Зоря;7;5624684900
478;Єлизаветівка;1;1223780800
